UID,Predicts
73658,"[tensor(-0.0969), tensor(-0.8255), tensor(0.7132), tensor(-0.5402), tensor(0.0911), tensor(-0.6000), tensor(1.1444), tensor(-0.6044), tensor(0.0150), tensor(-0.0937), tensor(-0.0410), tensor(-0.9717), tensor(0.3083), tensor(0.2344), tensor(0.4866), tensor(1.6514), tensor(-0.5336), tensor(-0.5064), tensor(1.0284), tensor(0.6448)]"
90157,"[tensor(0.2851), tensor(-0.3465), tensor(-0.2135), tensor(-0.4874), tensor(0.6640), tensor(0.7528), tensor(-0.0609)]"
932,"[tensor(-0.4955), tensor(0.0584), tensor(-1.7368), tensor(0.5646), tensor(0.5652), tensor(0.1828), tensor(-0.5342), tensor(0.0335), tensor(0.3292), tensor(-0.6254), tensor(1.0248), tensor(0.0032), tensor(0.1446), tensor(-0.6260), tensor(-0.2534), tensor(-0.2698), tensor(0.4160), tensor(-0.4170), tensor(0.0089), tensor(-0.2408), tensor(-0.2632), tensor(0.7731), tensor(0.0444), tensor(-0.3715), tensor(0.4338), tensor(1.3393), tensor(-0.3998), tensor(0.0373), tensor(-0.4380), tensor(-0.0742), tensor(0.3454), tensor(-0.9627), tensor(0.9814), tensor(0.0031), tensor(-0.0543), tensor(0.1420), tensor(-0.1430), tensor(-0.0638), tensor(0.0182), tensor(0.3789), tensor(1.4261), tensor(-0.3467), tensor(0.9478), tensor(-0.0992), tensor(0.2439), tensor(-0.2822), tensor(-1.4207), tensor(-0.5065), tensor(0.0683), tensor(1.0405), tensor(-0.4871), tensor(0.1060), tensor(-0.3228), tensor(0.0681), tensor(-0.0478), tensor(0.1784), tensor(-0.6516), tensor(-0.2335), tensor(-0.3173), tensor(-0.0165), tensor(1.9927), tensor(0.9964), tensor(-0.0630), tensor(0.3552), tensor(-0.5352), tensor(-0.2681), tensor(-0.0846), tensor(-0.4067), tensor(1.0468), tensor(0.4631), tensor(0.6779), tensor(-0.2800), tensor(-0.1002), tensor(0.3754), tensor(0.2755), tensor(0.2291), tensor(0.0891), tensor(-0.8811), tensor(-0.1491), tensor(-0.0455), tensor(-0.2966), tensor(0.0009), tensor(-0.6182), tensor(-0.6982), tensor(0.1946), tensor(1.0845), tensor(-0.1663), tensor(-0.6463), tensor(-0.5507), tensor(-0.5813), tensor(-0.0893), tensor(0.1916), tensor(0.0350), tensor(0.7085), tensor(-1.0388), tensor(-0.5109), tensor(0.4778), tensor(1.1665), tensor(-0.0047), tensor(0.6020), tensor(0.6878), tensor(0.1568), tensor(-0.0556), tensor(0.0986), tensor(-1.1393), tensor(-0.1656), tensor(-0.1470), tensor(0.6450), tensor(0.8896), tensor(-1.0981), tensor(-0.2269), tensor(0.2746), tensor(-0.4661), tensor(0.2552), tensor(-1.1447), tensor(0.3628), tensor(-0.6672), tensor(-0.7782), tensor(-0.0357), tensor(-1.0637), tensor(0.6190), tensor(-0.0089), tensor(-0.7579), tensor(0.2296), tensor(-0.3858), tensor(-0.4964), tensor(-0.9149), tensor(0.0555), tensor(0.5198), tensor(0.4477), tensor(0.0761), tensor(-0.2108), tensor(-0.1304), tensor(-0.5210), tensor(-0.9700), tensor(-0.1689), tensor(0.8150), tensor(1.3903), tensor(-0.1949), tensor(0.2947)]"
48781,"[tensor(-0.3041), tensor(0.6548), tensor(0.0367), tensor(-0.1173), tensor(0.1749), tensor(-0.4119), tensor(-0.0350), tensor(0.2410), tensor(-0.4905), tensor(0.1992), tensor(0.1749), tensor(0.1055), tensor(-0.4821), tensor(-0.7648), tensor(0.2511), tensor(0.0990), tensor(0.7707), tensor(0.3047), tensor(-0.2908), tensor(0.0866), tensor(-0.3843), tensor(0.2444), tensor(0.0704), tensor(0.1603), tensor(-0.0255), tensor(0.2215), tensor(-0.2947), tensor(-0.2542), tensor(-0.2170), tensor(0.3616), tensor(0.0564), tensor(0.6640), tensor(0.4530), tensor(-0.1867), tensor(-0.5889), tensor(0.2023), tensor(-0.0622), tensor(0.2311), tensor(0.3649), tensor(-0.1758), tensor(-0.2140), tensor(-0.7534), tensor(-0.7167), tensor(-0.2447), tensor(-0.1373), tensor(-0.4645), tensor(-0.1545), tensor(0.1510), tensor(-0.4984), tensor(-0.0375), tensor(-0.0644), tensor(0.0165)]"
78128,"[tensor(-0.4746), tensor(-0.1655), tensor(-0.0132), tensor(-0.3454), tensor(-0.1258), tensor(-0.5601), tensor(-0.1503), tensor(-0.1967), tensor(0.2833), tensor(0.2790), tensor(0.8557), tensor(0.3020), tensor(0.2532), tensor(-0.1854), tensor(0.0896), tensor(0.0237), tensor(-0.0935), tensor(-0.5413), tensor(-0.2857), tensor(-0.6073)]"
68696,"[tensor(-0.3887), tensor(0.2205), tensor(-0.0250), tensor(-0.2881), tensor(-0.3262), tensor(0.2888), tensor(0.0843), tensor(0.2412), tensor(-0.3335), tensor(0.2550), tensor(-0.0895), tensor(0.4305), tensor(-0.0841), tensor(-0.5314), tensor(-0.2604), tensor(-0.0320)]"
157880,"[tensor(0.0326), tensor(0.1593), tensor(-0.0909), tensor(0.0388), tensor(-0.2072), tensor(-0.2213), tensor(0.0578), tensor(-0.0164), tensor(-0.1089), tensor(-0.0741), tensor(0.0790), tensor(-0.0042), tensor(0.1170), tensor(-0.1536), tensor(-0.2053), tensor(-0.0845), tensor(0.1051), tensor(0.2503), tensor(-0.0803)]"
123961,"[tensor(-0.4545), tensor(0.0974), tensor(-0.4025), tensor(-0.1655), tensor(1.3767), tensor(0.4748), tensor(-0.4293), tensor(-0.5752), tensor(0.2577)]"
142027,"[tensor(0.3254), tensor(0.1988), tensor(-0.1569), tensor(-0.1453), tensor(-0.3915), tensor(-0.1058), tensor(-0.3097), tensor(-0.0645), tensor(-0.5706), tensor(0.4268), tensor(-0.4361), tensor(0.1350), tensor(-0.0807), tensor(-0.0456), tensor(0.3591), tensor(0.1755)]"
56448,"[tensor(0.2587), tensor(-0.1057), tensor(0.3108), tensor(-0.2256), tensor(-0.1074), tensor(0.0351), tensor(0.4131), tensor(-0.0056), tensor(-0.0100), tensor(0.0770), tensor(-0.1367), tensor(0.1745), tensor(0.0538), tensor(0.2306), tensor(-0.0966), tensor(-0.0359), tensor(-0.0250), tensor(-0.0704), tensor(-0.3872), tensor(0.3008), tensor(0.0113), tensor(0.0691), tensor(-0.1311), tensor(0.3458), tensor(-0.1777), tensor(-0.0510), tensor(0.1972), tensor(0.1208), tensor(0.0952), tensor(-0.0983), tensor(-0.0433), tensor(0.0225), tensor(0.0240), tensor(-0.1014), tensor(-0.1132), tensor(0.1828), tensor(0.2697), tensor(0.1600), tensor(0.1330), tensor(0.2405), tensor(-0.0222), tensor(-0.2739), tensor(-0.0316), tensor(-0.0046), tensor(-0.0288), tensor(0.0593), tensor(-0.2469), tensor(-0.0287), tensor(0.3011), tensor(-0.0737), tensor(-0.0212), tensor(0.0321), tensor(0.0434), tensor(-0.0808), tensor(-0.0665), tensor(-0.5642), tensor(0.1635), tensor(0.3803), tensor(-0.0301), tensor(-0.2733), tensor(0.0438), tensor(0.1409), tensor(0.2678), tensor(-0.2227), tensor(0.0818), tensor(-0.0426), tensor(-0.1475), tensor(0.0815), tensor(-0.0077), tensor(0.4512), tensor(-0.1119), tensor(0.1419), tensor(-0.4294), tensor(-0.1330), tensor(0.1925), tensor(0.2447), tensor(-0.0613), tensor(-0.0403), tensor(0.2221), tensor(0.0364), tensor(0.0814), tensor(0.0141), tensor(-0.2086), tensor(0.2606), tensor(-0.1680), tensor(0.3421), tensor(0.1094), tensor(-0.2947), tensor(0.0660), tensor(0.1275), tensor(-0.0942), tensor(0.0953), tensor(-0.2824), tensor(-0.2518), tensor(-0.2076), tensor(0.0830), tensor(0.0294), tensor(0.0322), tensor(-0.1450), tensor(-0.0531), tensor(-0.0210), tensor(0.1654), tensor(0.1614), tensor(0.0214), tensor(-0.1212), tensor(0.0802), tensor(0.3625), tensor(0.0627), tensor(-0.0292), tensor(0.0530), tensor(-0.2017), tensor(-0.1701), tensor(0.0313), tensor(0.2392), tensor(-0.0539), tensor(-0.4084), tensor(-0.0160), tensor(-0.2847), tensor(0.3772), tensor(-0.1082), tensor(-0.1418), tensor(-0.1694), tensor(0.0410), tensor(-0.0957), tensor(0.1154), tensor(0.2596), tensor(0.3650), tensor(-0.3665), tensor(-0.2272), tensor(0.0770), tensor(-0.1003), tensor(-0.2361), tensor(-0.1318), tensor(0.1988), tensor(0.2887), tensor(-0.1319), tensor(0.1811), tensor(-0.1779), tensor(-0.0138), tensor(0.0095), tensor(0.1291), tensor(0.2608), tensor(0.1958), tensor(-0.1052), tensor(-0.2856), tensor(-0.0189), tensor(-0.0251), tensor(-0.1488), tensor(0.4280), tensor(-0.0750), tensor(-0.3505), tensor(0.0351), tensor(0.0428), tensor(-0.0620), tensor(-0.2911), tensor(-0.0724), tensor(-0.0173), tensor(-0.1863), tensor(0.0951), tensor(0.1021)]"
