UID,Targets
73658,"[tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(4.), tensor(5.), tensor(5.), tensor(5.), tensor(4.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(4.), tensor(4.), tensor(5.), tensor(5.), tensor(5.), tensor(5.)]"
90157,"[tensor(4.), tensor(1.), tensor(3.), tensor(3.), tensor(2.), tensor(3.), tensor(5.)]"
932,"[tensor(3.), tensor(4.), tensor(2.), tensor(4.), tensor(4.), tensor(4.), tensor(3.), tensor(4.), tensor(3.), tensor(4.), tensor(2.), tensor(5.), tensor(4.), tensor(2.), tensor(3.), tensor(5.), tensor(5.), tensor(3.), tensor(3.), tensor(5.), tensor(4.), tensor(1.), tensor(4.), tensor(2.), tensor(5.), tensor(4.), tensor(5.), tensor(2.), tensor(2.), tensor(4.), tensor(4.), tensor(5.), tensor(4.), tensor(4.), tensor(4.), tensor(5.), tensor(4.), tensor(3.), tensor(2.), tensor(2.), tensor(5.), tensor(4.), tensor(4.), tensor(5.), tensor(2.), tensor(3.), tensor(3.), tensor(5.), tensor(4.), tensor(4.), tensor(4.), tensor(3.), tensor(1.), tensor(5.), tensor(4.), tensor(4.), tensor(3.), tensor(2.), tensor(4.), tensor(3.), tensor(4.), tensor(3.), tensor(4.), tensor(4.), tensor(3.), tensor(5.), tensor(4.), tensor(5.), tensor(5.), tensor(4.), tensor(3.), tensor(4.), tensor(3.), tensor(4.), tensor(5.), tensor(3.), tensor(4.), tensor(3.), tensor(2.), tensor(2.), tensor(3.), tensor(3.), tensor(2.), tensor(3.), tensor(4.), tensor(4.), tensor(3.), tensor(4.), tensor(4.), tensor(3.), tensor(4.), tensor(3.), tensor(4.), tensor(2.), tensor(3.), tensor(5.), tensor(5.), tensor(4.), tensor(2.), tensor(4.), tensor(2.), tensor(4.), tensor(3.), tensor(4.), tensor(4.), tensor(3.), tensor(3.), tensor(3.), tensor(3.), tensor(5.), tensor(3.), tensor(5.), tensor(4.), tensor(5.), tensor(3.), tensor(4.), tensor(2.), tensor(4.), tensor(3.), tensor(5.), tensor(5.), tensor(4.), tensor(3.), tensor(4.), tensor(4.), tensor(3.), tensor(3.), tensor(4.), tensor(5.), tensor(4.), tensor(3.), tensor(4.), tensor(4.), tensor(3.), tensor(3.), tensor(4.), tensor(2.), tensor(4.), tensor(2.), tensor(4.)]"
48781,"[tensor(5.), tensor(1.), tensor(5.), tensor(2.), tensor(5.), tensor(4.), tensor(2.), tensor(5.), tensor(2.), tensor(4.), tensor(5.), tensor(4.), tensor(5.), tensor(1.), tensor(5.), tensor(5.), tensor(1.), tensor(5.), tensor(4.), tensor(5.), tensor(5.), tensor(4.), tensor(3.), tensor(4.), tensor(5.), tensor(5.), tensor(5.), tensor(4.), tensor(1.), tensor(5.), tensor(4.), tensor(2.), tensor(5.), tensor(3.), tensor(5.), tensor(5.), tensor(4.), tensor(4.), tensor(5.), tensor(4.), tensor(3.), tensor(5.), tensor(5.), tensor(4.), tensor(4.), tensor(4.), tensor(5.), tensor(2.), tensor(5.), tensor(5.), tensor(3.), tensor(2.)]"
78128,"[tensor(4.), tensor(5.), tensor(5.), tensor(4.), tensor(4.), tensor(4.), tensor(5.), tensor(5.), tensor(5.), tensor(3.), tensor(5.), tensor(5.), tensor(5.), tensor(3.), tensor(3.), tensor(4.), tensor(4.), tensor(4.), tensor(5.), tensor(2.)]"
68696,"[tensor(5.), tensor(1.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(1.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(5.)]"
157880,"[tensor(4.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(4.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(3.), tensor(5.), tensor(4.), tensor(4.), tensor(4.), tensor(5.), tensor(5.)]"
123961,"[tensor(4.), tensor(4.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(4.)]"
142027,"[tensor(1.), tensor(5.), tensor(5.), tensor(3.), tensor(5.), tensor(2.), tensor(5.), tensor(3.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(5.), tensor(3.), tensor(5.), tensor(4.)]"
56448,"[tensor(5.), tensor(3.), tensor(3.), tensor(5.), tensor(4.), tensor(3.), tensor(5.), tensor(4.), tensor(3.), tensor(3.), tensor(3.), tensor(3.), tensor(3.), tensor(5.), tensor(4.), tensor(5.), tensor(5.), tensor(3.), tensor(2.), tensor(2.), tensor(4.), tensor(4.), tensor(2.), tensor(4.), tensor(4.), tensor(3.), tensor(4.), tensor(4.), tensor(5.), tensor(3.), tensor(3.), tensor(4.), tensor(5.), tensor(5.), tensor(3.), tensor(4.), tensor(4.), tensor(3.), tensor(5.), tensor(3.), tensor(4.), tensor(3.), tensor(4.), tensor(3.), tensor(2.), tensor(3.), tensor(3.), tensor(4.), tensor(1.), tensor(2.), tensor(3.), tensor(4.), tensor(2.), tensor(4.), tensor(4.), tensor(5.), tensor(5.), tensor(4.), tensor(5.), tensor(4.), tensor(3.), tensor(5.), tensor(5.), tensor(5.), tensor(2.), tensor(2.), tensor(5.), tensor(5.), tensor(4.), tensor(4.), tensor(3.), tensor(4.), tensor(4.), tensor(5.), tensor(3.), tensor(3.), tensor(5.), tensor(4.), tensor(3.), tensor(3.), tensor(3.), tensor(5.), tensor(5.), tensor(4.), tensor(5.), tensor(5.), tensor(4.), tensor(4.), tensor(3.), tensor(4.), tensor(2.), tensor(3.), tensor(3.), tensor(5.), tensor(5.), tensor(4.), tensor(2.), tensor(2.), tensor(4.), tensor(4.), tensor(4.), tensor(2.), tensor(4.), tensor(3.), tensor(4.), tensor(3.), tensor(3.), tensor(5.), tensor(2.), tensor(3.), tensor(3.), tensor(4.), tensor(5.), tensor(2.), tensor(5.), tensor(3.), tensor(5.), tensor(4.), tensor(4.), tensor(4.), tensor(2.), tensor(4.), tensor(3.), tensor(3.), tensor(2.), tensor(4.), tensor(3.), tensor(3.), tensor(5.), tensor(4.), tensor(4.), tensor(4.), tensor(5.), tensor(2.), tensor(4.), tensor(3.), tensor(3.), tensor(4.), tensor(5.), tensor(3.), tensor(4.), tensor(5.), tensor(4.), tensor(4.), tensor(4.), tensor(4.), tensor(4.), tensor(3.), tensor(4.), tensor(4.), tensor(5.), tensor(4.), tensor(1.), tensor(5.), tensor(2.), tensor(3.), tensor(3.), tensor(3.), tensor(3.), tensor(3.)]"
